STORE_ID,STORE_NAME,REGION_ID,CITY,STATE,CHANNEL_ID,STORE_TYPE,OPENING_DATE,FLOOR_AREA_SQFT,MANAGER
STR033,Hyderabad Store 33,R1,Hyderabad,Telangana,CH02,Express,2021-04-21,4454,Mohan Singh
STR034,Surat Store 34,R4,Surat,Gujarat,CH01,Flagship,2020-04-10,4587,Vikram Patel
STR035,Kolkata Store 35,R5,Kolkata,West Bengal,CH03,Mini,2019-02-14,3733,Kavya Patel
STR036,Surat Store 36,R3,Surat,Gujarat,CH01,Mini,2021-03-20,3694,Varun Tiwari
STR037,Chennai Store 37,R1,Chennai,Tamil Nadu,CH01,Mini,2020-01-15,1825,Sanjay Mehta
STR038,Surat Store 38,R3,Surat,Gujarat,CH02,Express,2019-07-08,4017,Amit Mehta
STR039,Delhi Store 39,R5,Delhi,Delhi,CH03,Flagship,2021-11-26,3787,Priya Rao
STR040,Kochi Store 40,R2,Kochi,Kerala,CH03,Mini,2023-02-17,667,Sanjay Gupta
STR041,Chandigarh Store 41,R5,Chandigarh,Punjab,CH01,Mini,2023-04-05,4485,Dev Sharma
STR042,Chennai Store 42,R3,Chennai,Tamil Nadu,CH01,Express,2020-03-07,1437,Mohan Pandey
STR043,Ahmedabad Store 43,R1,Ahmedabad,Gujarat,CH01,Mini,2022-08-16,1066,Lata Pillai
STR044,Jaipur Store 44,R5,Jaipur,Rajasthan,CH01,Flagship,2021-11-08,3753,Kavya Reddy
STR045,Lucknow Store 45,R4,Lucknow,Uttar Pradesh,CH02,Flagship,2020-09-11,4287,Arjun Joshi
STR046,Delhi Store 46,R3,Delhi,Delhi,CH01,Flagship,2018-10-14,2539,Dev Shah
STR047,Kochi Store 47,R2,Kochi,Kerala,CH02,Flagship,2020-11-12,3789,Ritu Sharma
STR048,Bengaluru Store 48,R2,Bengaluru,Karnataka,CH01,Express,2020-06-13,705,Kavya Kapoor
STR049,Ahmedabad Store 49,R3,Ahmedabad,Gujarat,CH02,Mini,2021-06-27,585,Vikram Pandey
STR050,Chennai Store 50,R2,Chennai,Tamil Nadu,CH02,Mini,2020-02-26,2390,Ajay Kapoor
